subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
0,1900-01-01 14:26:07.353082949,,,,1.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
1,1900-01-01 14:26:07.408139357,,,,4.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
2,1900-01-01 14:26:07.458557801,,,,5.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
3,1900-01-01 14:26:07.509074690,,,,6.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
4,1900-01-01 14:26:07.559639301,,,,7.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
5,1900-01-01 14:26:07.610160190,,,,8.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
6,1900-01-01 14:26:07.660659523,,,,9.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
7,1900-01-01 14:26:07.711232875,,,,10.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
8,1900-01-01 14:26:07.761674097,,,,11.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
9,1900-01-01 14:26:07.812228301,,,,12.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
10,1900-01-01 14:26:07.862712264,,,,13.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
11,1900-01-01 14:26:07.913246875,,,,14.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
12,1900-01-01 14:26:07.963802338,,,,15.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
13,1900-01-01 14:26:07.142240230,,,,16.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
14,1900-01-01 14:26:07.647914490,,,,17.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
15,1900-01-01 14:26:07.115272690,,,,18.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
16,1900-01-01 14:26:08.165805967,,,,19.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
17,1900-01-01 14:26:08.216333986,,,,20.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
18,1900-01-01 14:26:08.266808745,,,,21.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
19,1900-01-01 14:26:08.317307319,,,,22.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
20,1900-01-01 14:26:08.367861615,,,,23.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
21,1900-01-01 14:26:08.418419800,,,,24.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
22,1900-01-01 14:26:08.468892208,,,,25.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
23,1900-01-01 14:26:08.519434060,,,,26.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
24,1900-01-01 14:26:08.569963560,,,,27.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
25,1900-01-01 14:26:08.620467337,,,,28.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
26,1900-01-01 14:26:08.670943374,,,,29.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
27,1900-01-01 14:26:08.721525504,,,,30.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
28,1900-01-01 14:26:08.771995060,,,,31.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
29,1900-01-01 14:26:08.822483800,,,,32.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
30,1900-01-01 14:26:08.872989800,,,,33.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
31,1900-01-01 14:26:08.923569337,,,,34.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
32,1900-01-01 14:26:08.974081319,,,,35.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
33,1900-01-01 14:26:08.245568930,,,,36.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
34,1900-01-01 14:26:08.750563930,,,,37.0,40.790465,-8.674706,1,tx,2,22,19200,32,296.6879706958087
